X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
temp	pH	-0.586251	-0.586251	-0.586251	1	1	4	0	0.073000	-1.000000	0.000000	-1.000000	0.000000	0	-1.000000	0.000000	-1.000000	0.000000	0	0.132727	0.000000	0.000000	0.000000	0.000000	1	2
temp	salinity	0	0	0	-1	-1	0	0	1	nan	1.000000	0	1	0	nan	nan	0	1	0	nan	1.000000	1.000000	nan	1.000000	1	3
temp	DIC	0.227469	0.227469	0.227469	1	1	4	0	0.479000	1.000000	0.000000	1.000000	0.000000	0	1.000000	0.000000	1.000000	0.000000	0	0.174182	0.000000	0.000000	0.000000	0.000000	1	4
temp	DOC	0.756123	0.756123	0.756123	2	2	3	0	0.259000	0.632456	0.367544	0.632456	0.367544	0	0.632456	0.367544	0.632456	0.367544	0	0.150909	0.735089	0.735089	0.551317	0.918861	1	5
pH	salinity	0	0	0	-1	-1	0	0	1	nan	1.000000	0	1	0	nan	nan	0	1	0	nan	1.000000	1.000000	nan	1.000000	2	3
pH	DIC	-0.227469	-0.227469	-0.227469	1	1	4	0	0.332000	-1.000000	0.000000	-1.000000	0.000000	0	-1.000000	0.000000	-1.000000	0.000000	0	0.150909	0.000000	0.000000	0.000000	0.000000	2	4
pH	DOC	-0.756123	-0.756123	-0.756123	2	2	3	0	0.314000	-0.632456	0.367544	-0.632456	0.367544	0	-0.632456	0.367544	-0.632456	0.367544	0	0.150909	0.735089	0.735089	0.551317	0.918861	2	5
salinity	DIC	0	0	0	-1	-1	0	0	1	nan	1.000000	0	1	0	nan	nan	0	1	0	nan	1.000000	1.000000	nan	1.000000	3	4
salinity	DOC	0	0	0	-1	-1	0	0	1	nan	1.000000	0	1	0	nan	nan	0	1	0	nan	1.000000	1.000000	nan	1.000000	3	5
DIC	DOC	0	0	0	-1	-1	0	0	1	0.000000	1.000000	0.000000	1.000000	0	0.000000	1.000000	0.000000	1.000000	0	nan	1.000000	1.000000	1.000000	1.000000	4	5
